title,type,genres,imdb_score,tmdb_popularity
The 4400,SHOW,"['drama', 'scifi', 'thriller']",7.3,37.169
The Men Who Stare at Goats,MOVIE,"['comedy', 'war']",6.2,19.022
Strawberry Shortcake,SHOW,"['animation', 'family']",7.0,31.584
Shaun the Sheep,SHOW,"['animation', 'comedy', 'family', 'european']",8.1,31.375
Cleaner,MOVIE,"['thriller', 'crime']",6.1,11.509
Toradora!,SHOW,"['animation', 'comedy', 'drama', 'romance']",8.0,24.352
Big Time Rush,SHOW,"['family', 'comedy']",6.3,55.706
Monster House,MOVIE,"['animation', 'comedy', 'family', 'fantasy']",6.6,51.891
Good Luck Chuck,MOVIE,"['comedy', 'romance']",5.6,30.423
"10,000 BC",MOVIE,"['action', 'drama', 'fantasy', 'history', 'thriller']",5.1,24.671
Cop Out,MOVIE,"['crime', 'action', 'comedy', 'thriller']",5.5,13.63
The Cave,MOVIE,"['horror', 'thriller', 'action', 'scifi', 'european']",5.1,13.695
Starsky & Hutch,MOVIE,"['comedy', 'crime']",6.1,13.938
New York Minute,MOVIE,"['comedy', 'crime', 'family', 'romance']",4.9,11.818
Rumor Has It...,MOVIE,"['romance', 'comedy', 'drama']",5.5,13.521
Comedian,MOVIE,"['comedy', 'documentation']",6.9,4.854
Catch and Release,MOVIE,"['drama', 'romance', 'comedy']",5.9,9.435
Midnight Diner,SHOW,"['drama', 'comedy']",8.6,7.356
Lagaan: Once Upon a Time in India,MOVIE,"['romance', 'drama', 'action', 'sport']",8.1,10.097
Pocoyo,SHOW,"['animation', 'family', 'comedy', 'european']",3.9,27.339
Total Drama Island,SHOW,"['war', 'reality', 'animation', 'action', 'comedy', 'drama', 'family']",7.3,16.655
Kath & Kim,SHOW,['comedy'],8.3,3.926
No Direction Home: Bob Dylan,MOVIE,"['documentation', 'music']",,7.58
Friends with Money,MOVIE,"['comedy', 'drama', 'romance']",5.8,11.86
Ip Man 2,MOVIE,"['drama', 'action', 'history', 'sport']",7.5,4.516
Life As We Know It,MOVIE,"['comedy', 'romance', 'drama']",6.5,40.534
